,sentence,tags,encoded_tags
10,"['Testigo', '5', 'Doña', 'Antonia', 'de', 'Branches', 'depuso', 'a', '16', 'de', 'abril', ',', 'dice', 'de', 'oídas']","['O', 'O', 'PER', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,"['Testigo', '[No', 'declarado', 'en', 'el', 'proceso]', 'Fray', 'Antonio', 'de', 'Sosa', ',', 'depone', 'de', 'oídas', 'en', '16', 'de', 'abril']","['O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"['Memoria', 'de', 'los', 'testigos', 'que', 'deponen', 'contra', 'Pedro', 'de', 'Cazalla']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
13,"['y', 'de', 'ellos', 'van', 'puestos', 'números', 'solamente', 'en', 'aquellos', 'que', 'se', 'le', 'dieron', 'en', 'publicación:']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,"['En', 'la', 'villa', 'de', 'Valladolid', ',', 'a', '23', 'días', 'del', 'mes', 'de', 'abril', ',', 'año', 'del', 'Señor', 'de', '1558', 'años', ',', 'estando', 'el', 'señor', 'Licenciado', 'Guigelmo', ',', 'Inquisidor', ',', 'en', 'la', 'huerta', 'de', 'la', 'señora', 'Marquesa', 'de', 'Alcañices', ',', 'estando', 'allí', 'la', 'señora', 'Doña', 'Ana', 'Enríquez', ',', 'de', 'la', 'cual', 'fue', 'recibido', 'juramento', ',', 'en', 'forma', 'debida', 'de', 'derecho', ',', 'que', 'diría', 'verdad', ',', 'y', 'dijo', 'ser', 'de', 'edad', 'de', '23', 'años', ',', 'poco', 'más', 'o', 'menos', ',', 'y', 'entre', 'otras', 'cosas', 'contenidas', 'en', 'su', 'confesión', 'dijo', 'lo', 'siguiente:', 'Y', 'también', 'sabe', 'esta', 'confesante', 'que', 'está', 'en', 'la', 'dicha', 'creencia', 'Pedro', 'de', 'Cazalla', ',', 'hermano', 'del', 'dicho', 'Doctor', 'Cazalla', ',', 'que', 'vive', 'en', 'Pedrosa', ',', 'junto', 'a', 'Toro', ',', 'y', 'que', 'estaban', 'allí', 'otras', 'personas', 'en', 'la', 'dicha', 'creencia']","['O', 'O', 'O', 'O', 'PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'O', 'O', 'O', 'O', 'PLACE', 'PLACE', 'PLACE', 'PLACE', 'PLACE', 'PLACE', 'PLACE', 'PLACE', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'REF_PER', 'REF_PER', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'PER', 'PER', 'O', 'O', 'O', 'O', 'PLACE', 'O', 'O', 'O', 'PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,"['que', 'no', 'sabe', 'sus', 'nombres', ',', 'mas', 'de', 'que', 'uno', 'de', 'ellos', 'era', 'un', 'carpintero', 'y', 'una', 'mujer', 'que', 'sospecha', 'se', 'llama', 'Estrada']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'REF_PER', 'REF_PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 1]"
16,"['Y', 'también', 'confieso', 'que', 'yo', 'escribí', 'una', 'carta', 'a', 'Herrezuelo', 'declarándole', 'como', 'estaba', 'en', 'éste', 'error', ',', 'y', 'que', 'me', 'pesaba', 'de', 'lo', 'pasado', ',', 'y', 'que', 'estaba', 'muy', 'contenta', 'de', 'ello']","['O', 'O', 'O', 'O', 'REF_PER', 'O', 'O', 'O', 'O', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,"['y', 'el', 'dicho', 'Herrezuelo', 'me', 'respondió', ',', 'por', 'carta', ',', 'que', 'él', 'estaba', 'muy', 'contento', 'que', 'así', 'hubiese', 'obrado', 'Dios', 'en', 'semejante', 'cosa', ',', 'y', 'otras', 'cosas', ',', 'y', 'esta', 'carta', 'yo', 'la', 'di', 'a', 'Francisco', 'de', 'Vivero', 'que', 'la', 'mostrase', 'a', 'Fray', 'Domingo', ',', 'y', 'no', 'sé', 'de', 'ella', 'ni', 'qué', 'la', 'han', 'hecho']","['O', 'O', 'O', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'REF_PER', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,"['esta', 'carta', 'fue', 'por', 'Pedrosa', 'y', 'la', 'abrió', 'Pedro', 'de', 'Cazalla', ',', 'y', 'él', 'mismo', 'la', 'llevó', 'a', 'Herrezuelo', 'y', 'se', 'holgaron', 'mucho', 'con', 'ella']","['O', 'O', 'O', 'O', 'PLACE', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
19,"['En', 'Valladolid', ',', 'a', 'veinte', 'y', 'nueve', 'días', 'del', 'mes', 'de', 'abril', 'del', 'dicho', 'año', ',', 'estando', 'el', 'Señor', 'Licenciado', 'Guigelmo', 'en', 'su', 'posada', ',', 'apareció', 'presente', 'Doña', 'Ana', 'Enríquez', ',', 'la', 'cual', ',', 'so', 'cargo', 'del', 'juramento', 'que', 'tiene', 'hecho', ',', 'prometió', 'de', 'decir', 'verdad', ',', 'y', 'entre', 'otras', 'cosas', ',', 'contenidas', 'en', 'su', 'declaración', ',', 'dijo', 'lo', 'siguiente:', 'Cuando', 'Doña', 'Beatriz', 'supo', 'que', 'estaba', 'preso', 'Padilla', 'me', 'lo', 'dijo', ',', 'y', 'que', 'había', 'venido', 'aquí', 'Pedro', 'de', 'Cazalla']","['O', 'PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'O', 'PLACE', 'PLACE', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'O', 'O', 'O', 'O', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
20,"['y', 'creo', 'que', 'dijo', 'al', 'Doctor', 'Cazalla', 'que', 'pusiese', 'sus', 'libros', 'en', 'cobro', ',', 'y', 'creo', 'que', 'me', 'dijo', 'que', 'los', 'que', 'Pedro', 'Cazalla', 'tenía', ',', 'quería', 'traer', 'con', 'los', 'del', 'Doctor']","['O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'REF_PER']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 4]"
21,"['me', 'parece', 'que', 'me', 'dijo', 'que', 'le', 'había', 'dado', 'ella', 'no', 'sé', 'qué', 'libros', 'a', 'Pedro', 'Cazalla', ',', 'y', 'le', 'había', 'dicho', 'que', 'los', 'quemase', ',', 'y', 'yo', 'le', 'dije', 'que', 'no', 'lo', 'hiciese', ',', 'pareciéndome', 'muy', 'buena', 'cosa']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'REF_PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,"['Ítem:', 'me', 'dijo', 'Doña', 'Beatriz', 'de', 'Vivero', 'que', 'Don', 'Carlos', 'de', 'Seso', 'había', 'enseñado', 'esta', 'secta', 'a', 'Juan', 'Sánchez']","['O', 'O', 'O', 'PER', 'PER', 'PER', 'PER', 'O', 'PER', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER']","[0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]"
23,"['y', 'Juan', 'Sánchez', 'a', 'Doña', 'Catalina', 'de', 'Ortega']","['O', 'PER', 'PER', 'O', 'PER', 'PER', 'PER', 'PER']","[0, 1, 1, 0, 1, 1, 1, 1]"
24,"['y', 'que', 'a', 'Francisco', 'de', 'Vivero', 'lo', 'enseñó', 'Pedro', 'de', 'Cazalla', ',', 'su', 'hermano']","['O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O']","[0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
25,"['En', 'la', 'villa', 'de', 'Valladolid', ',', 'a', '26', 'días', 'del', 'mes', 'de', 'septiembre', 'del', 'dicho', 'año', ',', 'ante', 'los', 'señores', 'Licenciado', 'de', 'Baltodano', ',', 'del', 'Consejo', ',', 'y', 'Licenciado', 'Guigelmo', ',', 'inquisidor', ',', 'apareció', 'presente', 'la', 'dicha', 'Doña', 'Ana', 'Enríquez', ',', 'y', 'como', 'fue', 'presente', ',', 'so', 'cargo', 'del', 'juramento', 'que', 'hecho', 'tiene', ',', 'entre', 'otras', 'cosas', ',', 'declaró', 'lo', 'siguiente:', 'Fuele', 'dicho', 'que', 'en', 'su', 'proceso', 'tiene', 'declarado', 'que', 'Pedro', 'de', 'Cazalla', ',', 'y', 'otros', 'vecinos', 'de', 'Pedrosa', ',', 'están', 'en', 'la', 'creencia', 'de', 'estos', 'errores', ',', 'que', 'diga', 'y', 'declare', 'cómo', 'lo', 'sabe']","['O', 'O', 'O', 'O', 'PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'ORG', 'O', 'O', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,"['Dijo:', 'que', 'por', 'el', 'trato', 'que', 'con', 'los', 'hermanos', 'del', 'dicho', 'Pedro', 'de', 'Cazalla', 'ha', 'tenido', ',', 'entendió', 'que', 'él', 'estaba', 'en', 'los', 'errores', 'que', 'entre', 'ellos', 'se', 'platicaban', ',', 'aunque', 'no', 'se', 'acuerda', 'en', 'particular', 'quien', 'lo', 'dijo', ',', 'ni', 'lo', 'que', 'en', 'particular', 'le', 'dijeron', 'y', 'lo', 'mismo', 'de', 'los', 'de', 'Pedro', 'de', 'Cazalla', ',', 'pero', 'que', 'nunca', 'esta', 'confesante', 'trató', 'de', 'ello', 'con', 'el', 'dicho', 'Pedro', 'de', 'Cazalla']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'REF_PER', 'REF_PER', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'REF_PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'REF_PER', 'REF_PER', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER']","[0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
27,"['Preguntada', 'que', 'una', 'carta', 'que', 'en', 'su', 'proceso', 'dice', 'que', 'escribió', 'al', 'Bachiller', 'Herrezuelo', 'a', 'Toro', ',', 'que', 'fue', 'por', 'Pedrosa', ',', 'y', 'que', 'la', 'vio', 'el', 'dicho', 'Pedro', 'de', 'Cazalla', ',', 'que', 'declare', 'cómo', 'lo', 'sabe']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'O', 'PLACE', 'O', 'O', 'O', 'O', 'PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
28,"['Dijo:', 'que', 'en', 'la', 'carta', 'que', 'en', 'respuesta', 'de', 'ella', 'escribió', 'a', 'esta', 'confesante', 'el', 'Bachiller', 'Herrezuelo', ',', 'le', 'refería', 'cómo', 'había', 'ido', 'por', 'la', 'villa', 'de', 'Pedrosa', '', 'y', 'allí', 'la', 'había', 'abierto', ',', 'y', 'por', 'su', 'persona', 'se', 'lo', 'había', 'llevado', 'a', 'Toro']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'REF_PER', 'REF_PER', 'O', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PLACE', 'PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PLACE']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
29,"['En', 'Valladolid', ',', 'a', '12', 'de', 'agosto', 'del', 'dicho', 'año', 'se', 'ratificó', 'en', 'forma', 'la', 'dicha', 'Doña', 'Ana', 'Enríquez', ',', 'como', 'parece', 'por', 'su', 'proceso']","['O', 'PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
30,"['En', 'Valladolid', ',', 'a', 'veinte', 'y', 'cinco', 'días', 'del', 'mes', 'de', 'abril', ',', 'año', 'del', 'Señor', 'de', 'mil', 'y', 'quinientos', 'y', 'cincuenta', 'y', 'ocho', 'años', ',', 'estando', 'el', 'Señor', 'Licenciado', 'Guigelmo', ',', 'Inquisidor', ',', 'en', 'su', 'posada', ',', 'apareció', 'presente', 'Don', 'Luis', 'de', 'Rojas', 'Enríquez', ',', 'del', 'cual', 'fue', 'recibido', 'juramento', 'en', 'forma', 'debida', 'de', 'derecho', ',', 'so', 'cargo', 'de', 'él', 'prometió', 'de', 'decir', 'verdad', ',', 'y', 'que', 'es', 'de', 'edad', 'de', 'veinte', 'y', 'cinco', 'años', ',', 'poco', 'más', 'o', 'menos', ',', 'y', 'entre', 'otras', 'cosas', 'contenidas', 'en', 'su', 'confesión', ',', 'está', 'lo', 'siguiente']","['O', 'PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,"['Y', 'también', 'me', 'declaró', 'que', 'estaba', 'en', 'esta', 'creencia', 'Pedro', 'de', 'Cazalla', ',', 'clérigo', ',', 'porque', 'el', 'mismo', 'me', 'lo', 'dijo', 'delante', 'de', 'Don', '', ',', 'mi', 'tío', ',', 'y', 'Doña', 'Mencía', ',', 'su', 'mujer', ',', 'y', 'Doña', 'Beatriz', 'de', 'Vivero']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'PER']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
